2014-11-21 - 2014-12-30,Dota 2 Secondary Pro League,"$8,064.50 "
2014-09-12 - 2014-12-30,ECL 2014 Autumn,"$20,941.70 "
2014-12-27 - 2014-12-28,OK.- Dota 2 Cup,"$37,747.24 "
2014-10-25 - 2014-12-27,G-League 2014,"$44,147.70 "
2014-09-25 - 2014-12-23,DPL Season 2,"$80,955.00 "
2014-08-31 - 2014-12-22,BenQ All-Star Showmatches,"$2,536.01 "
2014-12-02 - 2014-12-21,Trilogy Cup,"$12,500.00 "
2014-10-31 - 2014-12-21,XMG Captains Draft 2.0,"$273,238.00 "
2014-10-31 - 2014-12-21,XMG Captains Draft 2.0 (All-Star All Random Death Match),"$2,767.00 "
2014-10-26 - 2014-12-20,KDL Season 4,"$71,435.00 "
2014-11-09 - 2014-12-19,BOCE S3,"$30,000.00 "
2014-12-15 - 2014-12-18,joinDOTA Masters,"$15,000.00 "
2014-11-15 - 2014-12-14,Coliseum League Season 1,$451.84 
2014-12-12 - 2014-12-14,EIZO Cup #13,"$2,492.20 "
2014-11-28 - 2014-12-14,Esportal Dota 2 League,"$24,253.58 "
2014-12-02 - 2014-12-11,GG League #2,"$1,500.00 "
2014-02-20 - 2014-12-10,GIGABYTE Challenge,"$29,084.41 "
2014-12-05 - 2014-12-07,IEF 2014,"$65,036.00 "
2014-12-05 - 2014-12-07,NESO 2014,"$42,274.96 "
2014-10-03 - 2014-12-07,The Summit 2,"$320,589.00 "
2014-10-06 - 2014-12-07,Yard Red Festival,"$5,000.00 "
2014-12-06,Techlabs Cup KZ 2014,"$3,000.00 "
2014-11-10 - 2014-12-05,Battle of America,"$5,000.00 "
2014-11-29 - 2014-11-30,MPGL SEA Season VI,"$29,576.00 "
2014-10-06 - 2014-11-29,DreamHack Winter 2014,"$114,443.00 "
2014-11-21 - 2014-11-23,insomnia53,"$6,278.96 "
2014-11-19 - 2014-11-23,Life Child Invitational,$685.50 
2014-11-13 - 2014-11-16,IeSF 2014 World Championship,"$50,000.00 "
2014-09-01 - 2014-11-02,D2CL Season 4,"$76,408.00 "
2014-11-01 - 2014-11-02,MSI Beat IT 2014,"$51,285.00 "
2014-10-30 - 2014-11-02,NEST 2014,"$60,465.40 "
2014-08-15 - 2014-10-26,StarLadder StarSeries - Season 10,"$235,604.00 "
2014-10-14 - 2014-10-22,StarLadder ProSeries - Season 10,"$1,500.00 "
2014-08-17 - 2014-10-19,Golden Esports League Season 2,"$4,176.56 "
2014-09-08 - 2014-10-19,Thailand Championship,"$14,500.00 "
2014-10-09 - 2014-10-12,Brasil Game Cup 2014,"$24,712.20 "
2014-10-10 - 2014-10-12,The Telkom DGL Championship 2014,"$10,970.63 "
2014-10-09 - 2014-10-10,ESL One New York 2014,"$132,445.00 "
2014-08-18 - 2014-10-06,Canada Cup S3,"$4,000.00 "
2014-10-02 - 2014-10-05,Gigacon 2014,"$4,596.30 "
2014-08-03 - 2014-10-05,KDL Season 3,"$96,833.23 "
2014-10-02 - 2014-10-05,WCA 2014,"$472,410.00 "
2014-09-29 - 2014-10-02,EIZO Cup #12,"$2,536.08 "
2014-09-29,Celebrity Deathmatch!,"$1,000.00 "
2014-09-25 - 2014-09-28,i-League Season 1,"$308,200.00 "
2014-09-25 - 2014-09-28,X5 Mega Arena 2,"$2,892.02 "
2014-08-26 - 2014-09-27,EMC Season 2,"$75,581.00 "
2014-09-09 - 2014-09-21,Sina Cup Season 5,"$15,301.23 "
2014-09-18 - 2014-09-19,NVIDIA Game 24,"$15,000.00 "
2014-09-12 - 2014-09-15,IeSF Asian Championships,"$10,000.00 "
2014-08-22 - 2014-09-15,SEA Dragon Battle #1,"$3,000.00 "
2014-09-11 - 2014-09-13,Game Show Dota 2 League Season 1,"$50,000.00 "
2014-09-13,Solo Mid Saturday,$814.70 
2014-02-08 - 2014-09-08,BountyHunter Series,"$11,300.00 "
2014-09-05 - 2014-09-07,WEC 2014,"$167,738.59 "
2014-08-25 - 2014-08-26,Megafon Battle Arena,"$15,000.00 "
2014-08-22 - 2014-08-23,insomnia52,"$10,751.48 "
2014-07-29 - 2014-08-16,IC #2,$3.00 
2014-08-09 - 2014-08-14,Star Ladder SEA Preseason,"$5,000.00 "
2014-07-31 - 2014-08-02,Assembly Summer 2014,"$6,715.76 "
2014-07-08 - 2014-07-21,The International 2014,"$10,931,103.00 "
2014-07-18 - 2014-07-20,epic.THIRTEEN,"$1,014.42 "
2014-07-06 - 2014-07-13,Vietnam eSports Champion League,"$1,500.00 "
2014-07-03 - 2014-07-06,LanCraft Summer 2014,$492.86 
2014-05-21 - 2014-07-04,datBet Championship,"$3,000.00 "
2014-06-16 - 2014-07-03,BoraDota STARS,$696.60 
2014-06-28 - 2014-06-29,ESL One Frankfurt 2014,"$210,900.00 "
2014-04-27 - 2014-06-29,KDL Season 2,"$102,665.34 "
2014-05-28 - 2014-06-27,Good Play SEA Invitational,"$6,223.60 "
2014-04-25 - 2014-06-25,D2CL Season 3,"$67,836.00 "
2014-06-02 - 2014-06-25,V Games Tournament Season 2,"$15,560.74 "
2013-10-14 - 2014-06-24,Dota 2 League,"$116,018.00 "
2014-06-16 - 2014-06-24,WVW,"$8,193.21 "
2014-06-16 - 2014-06-24,WVW NESC,"$8,184.13 "
2014-06-16 - 2014-06-23,GEST The Challenge June,"$10,000.00 "
2014-06-04 - 2014-06-22,CDEC 2014,"$16,067.23 "
2014-03-03 - 2014-06-16,DreamLeague Season 1,"$256,996.00 "
2014-03-26 - 2014-06-15,eSports Champions League 2014,"$20,934.82 "
2014-06-05 - 2014-06-08,The Summit 1,"$102,358.00 "
2014-04-08 - 2014-06-03,American Dota League,"$10,000.00 "
2014-03-29 - 2014-06-02,WPC 2014,"$245,549.70 "
2014-05-31,Techlabs Cup 2014 Season 2,"$10,000.00 "
2014-03-13 - 2014-05-30,Golden Esports League Season 1,"$4,487.16 "
2014-05-24 - 2014-05-25,MarsTV Dota 2 League,"$24,052.33 "
2014-03-29 - 2014-05-15,DPL Season 1,"$3,000.00 "
2014-01-26 - 2014-05-02,joinDOTA League Season 1,"$9,472.00 "
2014-04-26 - 2014-04-27,DreamHack Bucharest 2014,"$30,790.00 "
2014-03-10 - 2014-04-27,Zotac Starleague 2014,"$3,568.00 "
2014-04-03 - 2014-04-26,Fragbite Masters 2014,"$30,406.67 "
2014-04-08 - 2014-04-23,The Inaugural,"$3,000.00 "
2014-04-18 - 2014-04-20,insomnia51,"$4,197.88 "
2014-03-05 - 2014-04-20,StarLadder StarSeries - Season 9,"$189,512.00 "
2014-04-16 - 2014-04-20,The Gathering 2014,$484.70 
2014-02-04 - 2014-04-16,MLG T.K.O.,"$60,000.00 "
2014-02-09 - 2014-04-15,D2CL Season 2,"$124,167.00 "
2014-02-16 - 2014-04-12,KDL Season 1,"$86,906.15 "
2014-04-12,StarLadder ProSeries - Season 9,"$1,500.00 "
2014-04-05 - 2014-04-06,ESPL Season One,"$8,667.00 "
2014-04-05,Techlabs Cup 2014 Season 1,"$20,000.00 "
2014-02-18 - 2014-04-01,XMG Captains Draft Invitational,"$40,170.00 "
2014-02-10 - 2014-03-27,Netolic Pro League #5,"$15,159.11 "
2014-03-07 - 2014-03-09,SXSW Monster Energy Invitational,"$15,000.00 "
2014-02-25 - 2014-03-08,Sina Cup Supernova Season 3,"$14,697.12 "
2014-02-28 - 2014-03-02,Lan ETS 2014,"$2,892.65 "
2014-02-14 - 2014-02-17,epic.TWELVE,"$5,011.40 "
2014-01-04 - 2014-02-15,NSL Season 3,"$69,575.03 "
2014-01-31 - 2014-02-08,ESP Shock Therapy Cup,"$10,000.00 "
2014-01-31 - 2014-02-03,EIZO Cup #11,"$2,367.04 "
2014-01-30 - 2014-02-01,Assembly Winter 2014,"$6,743.90 "
2013-12-09 - 2014-01-19,G-League 2013 Season 1,"$44,645.07 "
2013-11-25 - 2014-01-19,StarLadder StarSeries - Season 8,"$124,358.00 "
2013-10-17 - 2014-01-15,D2CL Season 1,"$50,000.00 "
2014-01-04 - 2014-01-12,Pinnacle Sports Pro-Am,"$13,668.39 "
2013-12-01 - 2014-01-12,Polish DOTA 2 Online Championships,$320.00 
