,0
343,NDA Productions
344,Data East
345,Time Warner Interactive
346,Gainax Network Systems
347,Daito
348,O3 Entertainment
349,Gameloft
350,Xicat Interactive
351,Simon & Schuster Interactive
352,Valcon Games
353,PopTop Software
354,TOHO
355,HMH Interactive
356,5pb
357,Cave
358,CDV Software Entertainment
359,Microids
360,PM Studios
361,Paon
362,Micro Cabin
363,GameTek
364,Benesse
365,Type-Moon
366,Enjoy Gaming ltd.
367,Asmik Corp
368,Interplay Productions
369,Asmik Ace Entertainment
370,inXile Entertainment
371,Image Epoch
372,Phantom EFX
373,Evolved Games
374,responDESIGN
375,Culture Publishers
376,Griffin International
377,Hackberry
378,Hearty Robin
379,Nippon Amuse
380,Origin Systems
381,Seventh Chord
382,Mitsui
383,Milestone
384,Abylight
385,Flight-Plan
386,Glams
387,Locus
388,Warp
389,Daedalic Entertainment
390,Alternative Software
391,Myelin Media
392,Mercury Games
393,Irem Software Engineering
394,Sunrise Interactive
395,Elite
396,Evolution Games
397,Tivola
398,Global A Entertainment
399,Edia
400,Athena
401,Aria
402,Gamecock
403,Tommo
404,Altron
405,Happinet
406,iWin
407,Media Works
408,Fortyfive
409,Revolution Software
410,Imax
411,Crimson Cow
412,10TACLE Studios
413,Groove Games
414,Pack-In-Video
415,Insomniac Games
416,Ascaron Entertainment GmbH
417,Asgard
418,Ecole
419,Yumedia
420,Phenomedia
421,HAL Laboratory
422,Grand Prix Games
423,DigiCube
424,Creative Core
425,Kaga Create
426,WayForward Technologies
427,LSP Games
428,ASCII Media Works
429,Coconuts Japan
430,Arika
431,Ertain
432,Marvel Entertainment
433,Prototype
434,TopWare Interactive
435,Phantagram
436,1C Company
437,The Learning Company
438,TechnoSoft
439,Vap
440,Misawa
441,Tradewest
442,Team17 Software
443,Yeti
444,Pow
445,Navarre Corp
446,MediaQuest
447,Max Five
448,Comfort
449,Monte Christo Multimedia
450,Pony Canyon
451,Riverhillsoft
452,Summitsoft
453,Milestone S.r.l
454,Playmore
455,MLB.com
456,Kool Kizz
457,Flashpoint Games
458,49Games
459,Legacy Interactive
460,Alawar Entertainment
461,CyberFront
462,Cloud Imperium Games Corporation
463,Societa
464,Virtual Play Games
465,Interchannel
466,Sonnet
467,Experience Inc.
468,Zenrin
469,Iceberg Interactive
470,Ivolgamus
471,2D Boy
472,MC2 Entertainment
473,Kando Games
474,Just Flight
475,Office Create
476,Mamba Games
477,Fields
478,Princess Soft
479,Maximum Family Games
480,Berkeley
481,Fuji
482,Dusenberry Martin Racing
483,imageepoch Inc.
484,Big Fish Games
485,Her Interactive
486,Kamui
487,ASK
488,Headup Games
489,KSS
490,Cygames
491,KID
492,Quinrose
493,Sunflowers
494,dramatic create
495,TGL
496,Encore
497,Extreme Entertainment Group
498,Intergrow
499,G.Rev
500,Sweets
501,Kokopeli Digital Studios
502,Number None
503,Nexon
504,id Software
505,BushiRoad
506,Tryfirst
507,Strategy First
508,7G//AMES
509,GN Software
510,Yuke's
511,Easy Interactive
512,Licensed 4U
513,FuRyu Corporation
514,Lexicon Entertainment
515,Paon Corporation
516,Kids Station
517,GOA
518,Graphsim Entertainment
519,King Records
520,Introversion Software
521,Minato Station
522,Devolver Digital
523,Blue Byte
524,Gaga
525,Yamasa Entertainment
526,Plenty
527,Views
528,fonfun
529,NetRevo
530,Codemasters Online
531,Quintet
532,Phoenix Games
533,Dorart
534,Marvelous Games
535,Focus Multimedia
536,Imageworks
537,Karin Entertainment
538,Aerosoft
539,Technos Japan Corporation
540,Gakken
541,Mirai Shounen
542,Datam Polystar
543,Saurus
544,HuneX
545,Revolution (Japan)
546,Giza10
547,Visco
548,Alvion
549,Mycom
550,Giga
551,Warashi
552,System Soft
553,Sold Out
554,Lighthouse Interactive
555,Masque Publishing
556,RED Entertainment
557,Michaelsoft
558,Media Entertainment
559,New World Computing
560,Genterprise
561,"Interworks Unlimited, Inc."
562,Boost On
563,Stainless Games
564,EON Digital Entertainment
565,Epic Games
566,Naxat Soft
567,Ascaron Entertainment
568,Piacci
569,Nitroplus
570,Paradox Development
571,Otomate
572,Ongakukan
573,Commseed
574,Inti Creates
575,Takuyo
576,Interchannel-Holon
577,Rain Games
578,UIG Entertainment
