2013-12-27 - 2013-12-29,Asian Cyber Games 2013,"$30,000.00 "
2013-10-21 - 2013-12-29,Dota League Code A,"$2,640.96 "
2013-12-23 - 2013-12-28,Fengyun Dota 2 Tournament,"$13,191.20 "
2013-11-30 - 2013-12-28,NSL Season 2,"$89,133.31 "
2013-02-23 - 2013-12-22,joinDOTA Bigpoint Battle,"$29,222.00 "
2013-12-14 - 2013-12-15,EIZO Cup #10,"$2,403.89 "
2013-10-21 - 2013-12-14,Fragbite Masters 2013,"$30,409.96 "
2013-12-13,StarLadder ProSeries - Season 8,"$1,500.00 "
2013-10-07 - 2013-12-12,Netolic Pro League #4 West,"$15,000.00 "
2013-05-18 - 2013-12-09,RGN League 2013,"$14,007.63 "
2013-09-02 - 2013-12-08,RaidCall EMS One Fall 2013,"$35,000.00 "
2013-12-07,Techlabs Cup KZ 2013,"$3,500.00 "
2013-11-26 - 2013-12-04,Sina Cup Supernova Season 2,"$10,670.65 "
2013-11-29 - 2013-12-01,insomnia50,"$4,092.88 "
2013-11-28 - 2013-11-30,DreamHack Winter 2013,"$50,000.00 "
2013-08-24 - 2013-11-29,Netolic Pro League #3,"$2,000.00 "
2013-10-28 - 2013-11-25,Nexon Invitational Super Match,"$84,500.00 "
2013-11-22 - 2013-11-24,MLG Fall Championship 2013,"$136,760.00 "
2013-11-16 - 2013-11-17,Techlabs Cup Grand Final 2013,"$25,000.00 "
2013-11-08 - 2013-11-10,BGF 2013,$0.00 
2013-11-07 - 2013-11-10,EIZO Cup #9,"$4,678.32 "
2013-11-08 - 2013-11-10,NEST 2013,"$36,133.99 "
2013-09-28 - 2013-11-10,NSL Season 1,"$112,930.53 "
2013-03-09 - 2013-11-10,WePlay Dota2 League,"$33,700.00 "
2013-10-31 - 2013-11-03,ESWC 2013,"$25,000.00 "
2013-10-18,MLG Fall Invitational 2013,"$15,000.00 "
2013-08-31 - 2013-10-13,StarLadder StarSeries - Season 7,"$22,500.00 "
2013-09-28 - 2013-09-29,Gigabyte Dota 2 Summer Cup,"$1,500.00 "
2013-09-28,Techlabs Cup 2013 Season 3,"$15,000.00 "
2013-09-27,StarLadder ProSeries - Season 7,"$1,500.00 "
2013-09-02 - 2013-09-24,RaidCall EMS One Fall Cups 2013,"$4,000.00 "
2013-09-14 - 2013-09-18,EIZO Cup #8,"$2,336.31 "
2013-09-09 - 2013-09-16,Sina Cup Supernova,"$4,411.84 "
2013-08-30 - 2013-09-01,Fomos Dotanism League,"$2,730.00 "
2013-08-31,Techlabs Cup Ukraine 2013,"$10,000.00 "
2013-08-23 - 2013-08-25,insomnia49,"$3,895.37 "
2013-08-22 - 2013-08-25,LanCraft Summer 2013,$516.16 
2013-08-17 - 2013-08-20,EIZO Cup #7,"$2,349.63 "
2013-08-17 - 2013-08-18,LANHAMMER 2013,"$4,950.00 "
2013-08-02 - 2013-08-11,The International 2013,"$2,874,381.00 "
