2012-04-11 - 2012-12-31,4PL Play4Dota2,"$8,753.30 "
2012-09-22 - 2012-12-30,The Revenge,"$2,000.00 "
2012-11-08 - 2012-12-24,GosuLeague Season 5,"$5,000.00 "
2012-11-13 - 2012-12-23,StarLadder StarSeries - Season 4,"$15,000.00 "
2012-12-22 - 2012-12-23,The Asia 2012,"$30,000.00 "
2012-12-13,StarLadder ProSeries - Season 4,"$1,500.00 "
2012-12-08 - 2012-12-09,THOR Open 2012,"$19,459.62 "
2012-12-05 - 2012-12-06,GEST Challenge 2012,"$1,500.00 "
2012-11-29 - 2012-12-02,World Cyber Games 2012,"$33,000.00 "
2012-11-22 - 2012-11-25,DreamHack Winter 2012,"$30,183.44 "
2012-11-24,Techlabs Cup KZ 2012,"$5,000.00 "
2012-09-10 - 2012-11-18,Dota 2 League,"$10,000.00 "
2012-10-22 - 2012-11-18,G-1 Champions League,"$52,883.76 "
2012-11-04 - 2012-11-15,Gigabyte E-Sports Tournament,"$1,500.00 "
2012-11-12 - 2012-11-13,atoD Showdown 2,"$1,483.00 "
2012-11-10 - 2012-11-11,AVerMedia Dota 2 Cup,"$2,000.00 "
2012-07-14 - 2012-11-09,joinDOTA Masters Special Edition,"$2,504.35 "
2012-11-02 - 2012-11-04,ESWC 2012,"$25,000.00 "
2012-10-02 - 2012-10-28,GosuLeague Season 4,"$5,000.00 "
2012-09-17 - 2012-10-21,StarLadder StarSeries - Season 3,"$30,000.00 "
2012-10-14,StarLadder ProSeries - Season 3,"$1,500.00 "
2012-08-01 - 2012-09-25,Alienware 2012 Battlegrounds,"$3,000.00 "
2012-09-22 - 2012-09-23,DreamHack Valencia 2012,"$5,190.41 "
2012-09-08 - 2012-09-09,WCG Asian Championship 2012,"$6,000.00 "
2012-08-26 - 2012-09-02,The International 2012,"$1,600,000.00 "
2012-08-19 - 2012-08-24,ASUS Open 2012 – Summer Cup,"$1,414.73 "
2012-07-16 - 2012-08-21,BeyondTheSummit World Tour,"$1,000.00 "
2012-08-17 - 2012-08-19,WCG Samsung Euro Encounter 2012,"$7,401.48 "
2012-03-05 - 2012-08-16,Dota 2 Cup,"$2,500.00 "
2012-06-21 - 2012-08-12,The Defense Season 2,"$12,291.05 "
2012-04-13 - 2012-08-05,ProDOTA2 League Season 1,"$20,000.00 "
2012-07-07 - 2012-07-30,GosuLeague Season 3,"$5,000.00 "
2012-07-28 - 2012-07-29,The Premier League Masters,$500.00 
2012-05-11 - 2012-07-21,joinDOTA Open,"$2,985.00 "
2012-05-14 - 2012-07-15,StarLadder StarSeries - Season 2,"$15,000.00 "
2012-07-09,StarLadder ProSeries - Season 2,"$1,500.00 "
2012-04-15 - 2012-07-08,The Arena: Dota 2 Invitational,"$3,000.00 "
2012-01-04 - 2012-07-08,The Premier League,"$20,000.00 "
2012-06-05 - 2012-07-01,GosuLeague Season 2,"$3,500.00 "
2012-03-22 - 2012-07-01,joinDOTA Masters,"$6,493.84 "
2012-04-30 - 2012-06-23,Gigabyte Dota 2 Masters,"$5,000.00 "
2012-06-16 - 2012-06-18,DreamHack Summer 2012,"$28,443.41 "
2012-05-01 - 2012-05-23,GosuLeague Season 1,"$1,500.00 "
2012-05-13,ASUS Open 2012 – Spring Cup,"$2,774.92 "
2012-03-12 - 2012-04-29,StarLadder StarSeries - Season 1,"$15,000.00 "
2012-04-21,StarLadder ProSeries - Season 1,"$1,500.00 "
2012-04-13 - 2012-04-15,Razer Invitational Showcase,"$2,000.00 "
2012-03-18,Techlabs Cup Moscow 2012,"$3,000.00 "
2012-03-18,The GD Studio Pilot Show,$500.00 
2012-01-14 - 2012-03-12,Dota2Replays Brawl,"$6,200.00 "
2012-03-08 - 2012-03-11,Razer Dota 2 Tournament,"$4,000.00 "
2012-03-10 - 2012-03-11,Team Dignitas Invitational,"$1,312.20 "
2011-11-15 - 2012-03-04,The Defense Season 1,"$13,199.00 "
2012-01-17 - 2012-02-02,D2E Challenge,"$2,621.34 "
